actual_value,xgb_predicted_value
0.477,0.5645229
0.458,1.0138323
5.00001,4.055038
2.186,2.4164515
2.78,2.171146
1.587,1.7156
1.982,2.3689182
1.575,1.6287619
3.4,2.9790723
4.466,4.3933387
1.232,0.98298377
2.539,2.0124521
2.151,1.661858
2.205,1.8536354
2.198,2.3567543
1.362,1.645101
1.784,2.1860337
1.875,1.9014511
1.398,1.7351388
1.375,1.0523994
4.25,3.8288672
4.056,3.4648154
1.388,1.3051171
5.00001,4.2771444
1.621,1.6041852
0.514,0.4134708
1.513,2.1277053
0.948,1.1115218
2.041,1.5364193
3.615,3.8174605
0.851,1.2348787
1.384,1.3549372
1.375,2.3236282
4.65,3.771754
2.718,2.4741914
2.394,2.5381455
3.409,3.3774128
1.504,1.4915103
1.281,0.9908009
1.56,1.3927242
2.581,3.0185606
0.905,1.001831
0.713,1.1136342
2.197,2.3499858
1.51,1.3595362
2.901,1.9843621
1.42,1.3465172
2.915,1.5304137
2.554,2.5429106
0.981,1.319615
2.519,2.1982338
1.621,1.9893168
1.294,1.4399133
0.894,0.8167887
1.505,1.6093583
1.338,1.4815087
0.804,0.7044021
2.111,2.1871505
2.556,2.2103565
2.145,1.918051
5.00001,3.560274
2.021,2.261998
0.815,1.0446353
0.988,0.9532258
2.819,3.295915
1.846,1.7283299
2.547,1.5138648
1.431,1.511181
1.625,1.9685211
1.426,1.4735173
0.859,1.0824273
1.869,2.182337
0.713,0.7832761
1.744,1.6892754
2.25,1.868569
1.465,1.9170142
4.05,3.9916067
1.896,2.1322203
1.644,1.8381051
3.375,2.6072755
0.725,0.6540107
1.438,1.7314711
1.6,1.7680389
1.181,1.766051
3.74,3.74623
2.027,2.4910426
0.966,1.0626249
0.658,0.7756874
1.674,1.8820406
1.798,1.96911
0.967,1.2303714
2.661,2.8467903
0.911,0.88923645
0.498,0.39282864
0.907,0.9137492
1.158,1.339077
2.786,3.7714884
2.5,1.6766201
0.85,1.70923
1.77,1.7673075
0.997,1.7479513
3.576,4.416607
4.75,3.3299425
2.736,2.68758
1.824,2.1978111
1.578,1.4784391
1.938,2.2458367
3.336,3.3147316
2.646,2.306737
0.584,0.8939795
1.734,1.642224
2.148,2.3035169
2.0,3.4767008
4.228,3.8361747
0.936,1.4894356
1.222,2.1743016
1.676,1.6013829
3.036,2.8506658
2.693,2.4196436
2.644,2.0414007
1.91,1.7161958
1.538,2.0744498
2.755,3.554708
